Student ID,Study Hours per Week,Attendance Rate,Previous Grades,Parent Education Level,Gender,Engagement Level,Contact Info,Library Card Number,Grade Level,Age,Country
S11192,8.6,75.9,47.8,Master,Male,0,491-763-1616,LC4548,Grade 11,15,Spain
S11193,8.6,88.2,45.9,Master,Male,4,952-238-2377,LC5700,Grade 11,16,England
S11194,6.9,60.9,90.9,Doctorate,Male,0,307-472-2425,LC2323,Grade 12,17,Germany
S11195,8.3,80.8,,High School,Male,0,337-923-9363,LC4997,Grade 11,16,France
S11196,14.2,51.7,60.6,Bachelor,Male,2,408-558-5338,LC4938,Grade 12,17,Portugal
S11197,0.4,64.1,114.4,Doctorate,Male,1,288-314-2007,,Grade 12,17,England
S11198,18.9,69.1,87.9,Doctorate,Male,4,765-982-9732,LC5823,Grade 11,16,France
S11199,12.4,77.8,46.2,Master,Male,2,827-903-2158,LC1811,Grade 12,16,England
S11200,9.8,123.1,85.2,Associate,Male,5,901-299-4530,,Grade 10,15,Germany
S11201,,126.2,59.6,Bachelor,Male,2,972-187-6352,LC5843,Grade 12,17,Germany
S11202,2.7,67.2,63.1,Associate,Male,0,342-448-1734,LC1658,Grade 11,16,England
S11203,6.7,104.6,56.1,High School,Female,1,470-210-1273,,Grade 11,16,Portugal
S11204,9.4,52.8,62.7,Associate,Female,1,431-265-3962,LC3557,Grade 10,15,Portugal
S11205,16.8,83.0,56.0,Master,Male,2,258-812-1665,,Grade 11,16,Germany
S11206,9.8,61.3,59.9,Bachelor,Female,1,750-479-6166,LC3741,Grade 12,16,France
S11207,12.3,66.0,58.7,Associate,Male,,469-994-1080,LC3583,Grade 11,16,England
S11208,7.1,,72.0,Bachelor,Female,1,312-145-8937,,Grade 12,17,England
S11209,12.4,67.3,72.5,Associate,Male,1,561-437-2130,LC6864,Grade 10,15,England
S11210,18.4,62.0,67.0,Doctorate,Male,0,955-803-1781,LC2802,Grade 11,16,Germany
S11211,15.0,55.0,87.2,Doctorate,Male,1,761-716-4225,LC9459,Grade 11,16,England
S11212,9.6,59.6,81.0,Associate,Male,,948-852-3552,LC1485,Grade 11,16,France
S11213,13.4,46.6,84.8,Master,Male,3,365-877-3217,LC5224,Grade 12,17,France
S11214,12.9,79.5,53.8,Master,Female,2,248-520-9020,LC5170,Grade 11,16,Germany
S11215,12.5,79.1,47.6,Master,Male,1,414-817-2433,LC6090,Grade 10,15,Germany
S11216,15.6,81.8,69.2,Bachelor,Male,1,724-158-8706,,Grade 12,17,Portugal
S11217,15.5,74.8,71.2,Doctorate,Female,2,118-572-6724,LC7298,Grade 11,16,England
S11218,9.4,63.7,50.0,Associate,Male,0,403-201-2958,,Grade 11,16,Spain
S11219,13.2,61.9,70.0,Bachelor,Female,0,399-258-3476,,Grade 12,16,Portugal
S11220,8.1,78.2,,High School,Male,2,996-899-9800,,Grade 12,17,Germany
S11221,5.4,74.0,59.9,,Male,1,471-851-2965,LC7039,Grade 11,16,Germany
S11222,8.7,62.3,45.5,High School,Male,1,772-895-5527,LC9358,Grade 10,15,Portugal
S11223,9.6,69.3,71.2,Master,Female,1,892-132-9494,,Grade 12,17,France
S11224,,105.8,76.9,Associate,Female,1,582-307-1166,LC2603,Grade 10,15,England
S11225,14.3,114.4,33.7,High School,Female,3,927-203-6342,LC5223,Grade 12,17,Germany
S11226,-3.8,70.6,18.5,Master,Male,1,293-908-1037,LC7587,Grade 11,17,France
S11227,23.6,60.3,88.8,Bachelor,Male,5,494-458-2501,LC7864,Grade 12,17,Portugal
S11228,17.5,74.1,47.4,Doctorate,Female,3,330-424-4298,,Grade 12,17,England
S11229,8.7,97.7,,Associate,Male,3,481-768-6573,LC6286,Grade 11,17,France
S11230,10.0,74.1,49.2,Master,Male,2,804-593-9914,LC5158,Grade 11,16,England
S11231,11.5,82.1,82.5,Doctorate,Female,3,824-330-6528,LC7723,Grade 12,17,Germany
S11232,,61.8,79.1,Bachelor,Female,4,766-745-7313,,Grade 11,16,Portugal
S11233,11.0,51.7,59.8,,Male,3,274-783-8418,LC3616,Grade 12,17,Portugal
S11234,9.3,90.2,75.2,Master,Female,1,870-821-9007,,Grade 11,16,England
S11235,,78.9,69.2,Doctorate,Male,1,849-246-8804,LC6428,Grade 11,16,Spain
S11236,10.9,88.1,69.6,Doctorate,Female,1,500-632-4605,LC6384,Grade 10,15,Germany
S11237,3.4,40.8,74.4,Doctorate,Male,1,616-463-1594,,Grade 11,16,Germany
S11238,10.2,111.7,64.9,,Female,1,449-309-1543,,Grade 11,16,France
S11239,10.8,80.0,57.2,High School,Male,0,788-658-6496,LC2889,Grade 11,16,France
S11240,10.6,38.9,78.4,Master,Male,0,905-461-6902,LC5736,Grade 10,15,England
S11241,8.9,94.7,67.4,Associate,Male,,914-955-5700,LC2443,Grade 11,16,Portugal
S11242,15.7,67.5,64.8,Doctorate,Male,2,512-381-5666,LC2113,Grade 12,17,England
S11243,8.2,75.6,66.7,Bachelor,Female,2,889-923-6074,LC6743,Grade 10,14,Germany
S11244,11.1,65.4,55.7,Associate,Male,1,389-791-8476,LC5792,Grade 11,15,France
S11245,16.5,73.0,45.2,,Male,3,131-168-1909,LC1970,Grade 10,15,France
S11246,9.6,74.0,55.5,Master,Female,5,777-275-7214,,Grade 10,15,England
S11247,11.1,41.6,68.3,Associate,Male,5,509-114-5877,LC2367,Grade 12,17,France
S11248,9.5,92.3,63.7,Bachelor,Male,2,129-938-2424,,Grade 12,17,Spain
S11249,16.2,77.3,48.6,Bachelor,Male,3,202-439-8201,LC9549,Grade 10,14,Germany
S11250,8.7,83.9,43.8,Doctorate,Male,2,354-789-6999,LC9744,Grade 11,16,Germany
S11251,16.4,91.3,46.7,Bachelor,Male,0,857-921-6251,LC3292,Grade 10,16,Germany
S11252,9.5,77.4,62.4,Master,Male,1,621-647-4410,LC8035,Grade 12,17,Germany
S11253,5.7,81.6,89.0,,Male,0,601-162-6970,LC8203,Grade 10,14,England
S11254,,45.6,46.9,Master,Male,1,805-389-1660,,Grade 10,15,England
S11255,8.5,58.4,75.7,Bachelor,Male,2,564-909-3709,LC3353,Grade 12,17,England
S11256,13.1,76.7,44.0,Bachelor,Male,1,723-323-7103,LC5004,Grade 12,17,Germany
S11257,-3.6,78.7,,Master,Female,1,897-538-7666,LC1164,Grade 10,15,France
S11258,10.0,83.0,54.7,Bachelor,Male,0,291-868-9860,,Grade 12,17,France
S11259,7.7,103.1,,Doctorate,Male,1,216-256-5823,LC4285,Grade 11,16,Germany
S11260,4.7,,75.5,Associate,Male,2,376-847-3600,LC7178,Grade 11,16,Germany
S11261,,82.3,66.3,Associate,Male,4,839-797-8434,LC6009,Grade 10,15,Spain
S11262,7.1,76.2,68.6,Doctorate,Female,2,944-894-5192,,Grade 12,17,Germany
S11263,9.8,70.0,66.5,Doctorate,Female,1,284-598-9526,LC8313,Grade 11,16,France
S11264,3.2,70.8,92.8,High School,Female,0,434-551-3361,LC7046,Grade 10,15,Germany
S11265,11.6,59.3,45.8,High School,Female,1,458-306-2410,,Grade 10,15,England
S11266,16.8,72.7,62.9,Associate,Female,0,170-541-3554,LC3249,Grade 10,15,Germany
S11267,11.4,70.6,65.1,High School,Male,3,313-498-7109,LC6164,Grade 12,16,France
S11268,14.0,72.0,51.7,Doctorate,Female,1,783-384-9618,LC5877,Grade 11,16,France
S11269,15.5,40.2,77.0,High School,Male,,596-333-8351,LC5567,Grade 11,16,Portugal
S11270,16.2,73.0,58.5,Associate,Female,3,768-607-2708,LC8850,Grade 11,16,Spain
S11271,19.4,,77.2,High School,Female,1,597-762-1451,,Grade 12,17,Portugal
S11272,7.5,73.8,66.3,Doctorate,Male,4,188-951-2947,,Grade 11,16,Spain
S11273,6.4,53.1,59.5,High School,Male,0,243-770-7674,LC8763,Grade 12,17,Germany
S11274,13.9,76.0,90.8,Doctorate,Male,1,685-134-4350,LC3020,Grade 10,14,England
S11275,13.5,69.1,37.5,Doctorate,Male,1,179-239-2486,LC7754,Grade 10,15,Germany
S11276,13.9,62.5,74.3,High School,Female,0,285-439-6528,LC4766,Grade 12,17,England
S11277,,80.8,86.0,Master,Male,4,151-103-7280,LC5068,Grade 11,16,France
S11278,10.1,82.5,42.6,High School,Male,1,502-810-5871,LC3329,Grade 11,16,Germany
S11279,12.1,74.0,64.6,Associate,Female,1,673-460-9473,,Grade 11,16,Germany
S11280,5.1,86.4,72.1,Master,Male,5,833-758-6284,LC8877,Grade 12,17,England
S11281,20.7,66.7,52.0,Doctorate,Female,3,757-743-2030,,Grade 11,16,Germany
S11282,8.3,83.0,73.5,Master,Male,5,104-570-9993,,Grade 12,17,England
S11283,8.5,74.2,86.4,Associate,Male,1,398-474-2074,LC9121,Grade 10,15,France
S11284,8.3,55.0,76.0,Doctorate,Female,1,539-868-9894,LC9391,Grade 12,17,England
S11285,6.8,59.0,93.2,Master,Male,0,277-810-3619,LC3312,Grade 11,16,France
S11286,6.4,98.3,49.2,Doctorate,Female,2,945-155-2208,LC7350,Grade 11,16,Germany
S11287,7.4,106.5,61.6,Associate,Female,0,675-231-4963,LC2085,Grade 11,16,Portugal
S11288,3.2,89.3,42.1,High School,Male,0,937-459-2511,LC8313,Grade 11,16,Portugal
S11289,6.1,63.3,57.9,Associate,Male,,911-252-3618,,Grade 11,16,Spain
S11290,19.7,103.6,72.7,Associate,Male,2,263-860-7788,LC6246,Grade 10,15,Spain
S11291,13.7,87.3,69.0,Bachelor,Female,2,924-283-1549,,Grade 11,17,Germany
S11292,14.6,81.7,56.7,Bachelor,Female,2,478-509-4975,LC6288,Grade 11,16,England
S11293,15.9,111.8,63.1,Doctorate,Male,0,692-679-8126,LC8993,Grade 10,15,Portugal
S11294,19.2,57.8,35.3,Doctorate,Male,1,871-394-2918,,Grade 11,16,Spain
S11295,1.1,90.5,65.6,High School,Male,1,320-741-1271,LC6109,Grade 10,15,Portugal
S11296,3.9,58.7,88.3,Associate,Male,2,831-130-9698,,Grade 12,17,England
S11297,6.0,62.9,41.8,High School,Male,1,426-814-8788,LC4481,Grade 11,16,England
S11298,7.7,127.0,64.6,Bachelor,Female,5,702-523-8951,,Grade 12,17,Germany
S11299,8.5,85.0,85.5,High School,Female,4,444-966-1790,LC5470,Grade 12,17,France
S11300,7.8,112.0,49.7,Doctorate,Female,2,791-414-6429,,Grade 12,16,France
S11301,11.1,85.9,62.0,Associate,Female,0,903-163-7763,LC5638,Grade 11,16,Germany
S11302,10.2,83.0,82.5,Associate,Female,1,577-593-8015,LC8015,Grade 11,16,Germany
S11303,6.4,62.5,104.0,Associate,Male,1,779-381-1093,LC6073,Grade 10,14,England
S11304,-0.9,94.6,68.9,Doctorate,Male,0,240-686-5396,LC2189,Grade 12,17,Spain
S11305,5.0,75.5,70.2,Associate,Female,4,440-358-7806,LC5889,Grade 12,17,France
S11306,7.3,76.6,47.4,Master,Male,0,717-223-2563,,Grade 11,16,Germany
S11307,8.8,69.8,70.5,Bachelor,Male,1,173-181-2330,,Grade 11,16,Portugal
S11308,4.4,73.0,60.3,Bachelor,Male,1,874-790-7347,LC5245,Grade 11,16,Germany
S11309,7.5,,70.1,Bachelor,Male,,684-418-5659,,Grade 10,15,Spain
S11310,,77.5,72.2,Bachelor,Male,1,626-596-9098,LC8053,Grade 12,17,Germany
S11311,9.4,74.0,61.6,Master,Male,3,615-218-1325,LC3597,Grade 11,16,Spain
S11312,4.6,43.9,,Doctorate,Female,1,922-472-2693,LC8943,Grade 12,17,France
S11313,5.8,85.8,73.2,Bachelor,Female,5,467-774-6975,LC8116,Grade 11,16,Spain
S11314,3.5,72.5,54.2,Doctorate,Female,3,863-378-5097,LC4685,Grade 11,16,France
S11315,9.2,8.7,46.5,Bachelor,Male,4,337-519-8769,,Grade 10,15,Germany
S11316,5.7,43.2,86.7,Bachelor,Male,2,495-775-9504,,Grade 10,15,Spain
S11317,14.5,65.5,81.7,Associate,Male,0,222-944-2181,LC9376,Grade 11,16,France
S11318,12.0,100.6,69.2,Master,Male,1,289-285-9863,,Grade 11,16,Portugal
S11319,9.7,87.2,45.5,High School,Male,1,936-547-8515,LC8516,Grade 12,17,Spain
S11320,,61.3,60.5,Associate,Female,1,963-425-1123,,Grade 12,17,England
S11321,11.9,71.2,72.8,Bachelor,Male,1,896-630-1251,,Grade 10,15,Portugal
S11322,13.5,97.1,51.1,Bachelor,Male,1,317-671-4620,LC2443,Grade 10,16,England
S11323,10.7,62.7,93.3,Bachelor,Male,4,376-205-5394,LC7673,Grade 11,16,England
S11324,18.0,53.3,46.9,Bachelor,Male,2,548-470-8788,LC4749,Grade 12,17,Germany
S11325,12.3,92.6,47.3,Bachelor,Female,4,181-870-6541,LC8626,Grade 11,16,England
S11326,14.6,97.3,68.4,Master,Female,2,216-983-6780,LC6623,Grade 11,16,France
S11327,10.7,62.9,83.9,Master,Male,5,306-725-8803,LC4079,Grade 10,15,Portugal
S11328,13.4,84.8,27.0,Doctorate,Male,,746-207-2881,LC7508,Grade 11,16,France
S11329,6.0,74.2,52.3,Master,Female,2,111-442-5579,,Grade 12,17,England
S11330,7.7,63.2,24.0,Bachelor,Male,1,399-349-7980,LC8630,Grade 12,17,England
S11331,11.7,98.4,84.6,Bachelor,Male,4,901-671-3366,LC5296,Grade 11,16,England
S11332,11.7,61.7,52.4,Doctorate,Male,2,813-571-7254,,Grade 11,16,France
S11333,12.5,90.1,90.0,Doctorate,Male,0,839-264-9841,LC7559,Grade 11,16,England
S11334,,76.4,39.3,Bachelor,Male,3,611-790-9450,LC8283,Grade 11,16,Portugal
S11335,2.9,71.6,49.0,High School,Male,1,739-114-8223,LC5536,Grade 11,16,Germany
S11336,5.1,63.9,59.5,High School,Female,0,365-322-1294,,Grade 11,16,Portugal
S11337,11.1,55.3,,Doctorate,Male,5,629-347-2652,LC3763,Grade 12,17,Germany
S11338,6.4,70.0,65.8,Associate,Male,,853-551-8421,,Grade 12,17,Portugal
S11339,26.9,64.8,55.2,Associate,Female,2,207-533-7982,LC6842,Grade 11,16,England
S11340,12.6,76.9,200.0,Associate,Female,2,295-133-1416,,Grade 11,16,Germany
S11341,9.6,51.1,60.8,High School,Female,5,685-776-6603,LC1951,Grade 11,16,Portugal
S11342,7.4,,62.0,Master,Female,5,809-118-3740,LC2870,Grade 10,15,England
S11343,7.6,83.1,57.6,High School,Male,1,116-892-6140,LC4557,Grade 10,15,Portugal
S11344,10.2,61.5,85.0,Bachelor,Male,0,347-514-8985,,Grade 12,17,England
S11345,10.6,89.8,61.0,Associate,Female,1,103-444-9812,LC8691,Grade 11,16,France
S11346,7.7,92.0,86.7,Associate,Male,5,818-242-8842,LC1171,Grade 10,15,Spain
S11347,8.6,50.9,72.6,Associate,Male,1,476-539-7325,,Grade 12,17,Germany
S11348,16.7,59.8,73.3,Master,Female,4,204-924-5453,LC9074,Grade 11,16,France
S11349,16.9,48.2,77.8,Doctorate,Female,4,486-343-2164,LC2920,Grade 11,16,Germany
S11350,11.3,83.5,70.5,Doctorate,Male,5,387-650-8387,,Grade 10,15,England
S11351,3.3,77.6,59.1,High School,Male,1,132-295-3514,LC7804,Grade 11,16,France
S11352,12.7,43.0,72.2,Doctorate,Male,2,132-561-9288,LC5493,Grade 12,17,Portugal
S11353,17.8,62.0,78.0,Bachelor,Male,1,577-123-3796,,Grade 11,15,France
S11354,16.8,81.2,72.7,Master,Male,3,930-280-9426,LC5682,Grade 11,16,Germany
S11355,13.7,77.3,42.8,Master,Female,1,527-847-2682,LC7823,Grade 12,17,Portugal
S11356,17.1,99.2,77.1,Associate,Male,2,892-689-1064,,Grade 12,16,Germany
S11357,10.3,52.0,76.1,Master,Male,0,698-712-7914,LC1898,Grade 12,17,Germany
S11358,13.1,74.8,77.7,Bachelor,Female,5,802-498-6471,LC1250,Grade 12,17,France
S11359,6.6,55.0,60.3,Bachelor,Female,0,768-240-6630,,Grade 11,16,Germany
S11360,11.5,77.2,53.9,Associate,Female,0,148-290-5527,LC2586,Grade 11,16,England
S11361,16.6,71.4,64.4,Doctorate,Male,2,303-275-5031,LC6408,Grade 10,15,Spain
S11362,7.1,80.4,79.1,Associate,Male,4,667-552-4135,LC9961,Grade 11,15,Germany
S11363,5.7,66.8,43.3,Master,Female,1,248-100-7711,LC1445,Grade 12,17,England
S11364,10.5,90.2,65.5,High School,Female,3,811-410-3877,LC4359,Grade 12,17,Germany
S11365,8.9,60.7,35.1,High School,Female,2,341-519-1158,LC2427,Grade 11,16,Portugal
S11366,13.2,54.7,43.8,Associate,Male,1,899-829-9005,,Grade 11,16,Germany
S11367,7.7,79.5,81.3,Doctorate,Male,2,218-605-3087,,Grade 11,16,Germany
S11368,18.6,112.1,69.0,Doctorate,Male,0,566-947-5908,LC9327,Grade 10,15,Germany
S11369,3.6,44.6,48.2,Doctorate,Female,5,469-978-9238,,Grade 11,16,Germany
S11370,16.3,52.1,74.6,Doctorate,Female,0,720-235-1857,,Grade 12,17,France
S11371,6.2,79.6,55.8,Master,Female,4,398-431-2447,LC5102,Grade 12,17,Portugal
S11372,1.0,97.5,71.3,Master,Male,2,876-730-8964,LC5204,Grade 10,15,France
S11373,11.2,81.1,,Master,Male,3,530-642-7125,LC4354,Grade 10,15,Spain
S11374,8.7,62.8,75.1,Associate,Male,2,413-978-9961,LC7493,Grade 10,15,Germany
S11375,4.5,83.4,,Doctorate,Male,1,635-125-2176,,Grade 12,17,England
S11376,1.6,85.3,62.0,Associate,Male,0,946-843-2708,,Grade 11,16,France
S11377,10.0,61.4,61.6,High School,Male,5,849-292-2477,LC5973,Grade 11,16,Germany
S11378,14.9,91.5,85.2,Doctorate,Female,1,275-205-4148,LC9924,Grade 11,16,Germany
S11379,12.9,74.3,51.8,Doctorate,Male,2,478-927-7921,LC1355,Grade 11,16,England
S11380,10.3,40.0,72.7,Bachelor,Female,0,265-791-7587,,Grade 12,17,England
S11381,12.4,72.3,55.1,Bachelor,Female,1,349-506-9497,LC9207,Grade 12,17,Spain
S11382,9.9,63.6,65.8,High School,Male,3,884-943-3141,LC4594,Grade 11,16,England
S11383,,101.1,91.6,Master,Male,5,110-750-9645,LC9677,Grade 10,15,Germany
S11384,2.9,48.4,,Associate,Male,0,202-706-2721,LC1891,Grade 11,17,France
S11385,9.0,65.3,43.5,High School,Male,2,590-715-5162,LC6898,Grade 12,17,Portugal
S11386,9.2,80.1,86.2,High School,Male,1,171-919-6429,LC9155,Grade 12,16,Germany
S11387,14.3,123.4,68.6,Doctorate,Female,4,954-648-2544,,Grade 11,16,Spain
S11388,13.8,114.1,,High School,Male,1,466-804-9153,,Grade 11,16,England
S11389,,74.1,63.1,Associate,Male,5,218-636-5313,,Grade 11,16,Portugal
S11390,8.6,,62.0,Doctorate,Female,0,718-335-5750,LC7142,Grade 11,15,Portugal
S11391,3.1,87.0,60.8,Doctorate,Male,0,716-193-9612,,Grade 12,18,Germany
S11392,12.1,54.8,85.3,Doctorate,Male,0,737-864-2857,LC4904,Grade 12,17,England
S11393,12.6,75.2,,High School,Male,2,204-670-8474,LC1362,Grade 10,15,France
S11394,-1.9,102.1,61.7,Master,Female,1,906-561-5389,LC2904,Grade 10,15,Spain
S11395,5.8,77.8,48.9,Bachelor,Male,2,831-608-7492,LC9638,Grade 12,17,England
S11396,6.5,,61.9,Associate,Male,3,977-771-5272,,Grade 11,16,England
S11397,10.6,66.1,55.2,Master,Male,0,213-216-5554,LC9997,Grade 11,16,Germany
S11398,6.0,73.2,69.7,Doctorate,Male,4,151-342-4567,LC5090,Grade 10,15,England
S11399,9.8,73.4,62.8,Associate,Male,4,595-554-7126,LC1292,Grade 11,16,Germany
S11400,8.9,49.0,73.8,Associate,Male,2,516-634-6519,LC4692,Grade 11,16,England
S11401,9.2,97.1,85.1,Bachelor,Female,4,950-156-3325,LC2511,Grade 11,16,France
S11402,6.4,68.3,47.4,High School,Male,2,952-918-9759,LC4045,Grade 12,16,England
S11403,6.8,80.2,67.2,Associate,Male,5,113-257-2687,LC8838,Grade 10,15,England
S11404,4.6,63.0,41.2,Bachelor,Female,3,999-639-8508,,Grade 10,14,Portugal
S11405,11.9,109.5,65.8,Master,Male,0,739-155-8384,LC6418,Grade 11,16,France
S11406,12.9,99.7,73.3,Doctorate,Female,2,747-904-5616,,Grade 10,15,France
S11407,6.1,76.2,60.1,,Male,2,441-337-3977,,Grade 12,17,France
S11408,17.6,50.5,70.9,Master,Male,1,508-727-4954,LC8056,Grade 12,17,England
S11409,8.4,89.9,69.8,Associate,Male,1,989-415-4877,,Grade 10,15,England
S11410,17.7,96.7,73.7,,Male,0,521-120-9384,LC3604,Grade 11,16,France
S11411,6.8,56.5,47.0,Doctorate,Female,1,152-402-1781,LC8988,Grade 11,16,England
S11412,-0.1,72.1,81.3,Associate,Male,1,826-294-9067,,Grade 11,17,Portugal
S11413,12.0,76.5,60.2,Master,Male,2,172-297-6248,LC9917,Grade 12,16,England
S11414,,96.7,40.2,Bachelor,Male,1,566-896-1479,LC9700,Grade 11,16,France
S11415,10.2,72.0,51.2,Master,Female,,398-909-9398,LC1154,Grade 11,16,Germany
S11416,6.8,94.2,46.1,Associate,Male,0,628-459-5321,LC9550,Grade 11,16,France
S11417,9.8,59.5,57.0,,Male,1,195-992-6183,LC2250,Grade 10,15,Germany
S11418,7.4,53.9,52.1,High School,Male,0,633-855-2187,,Grade 11,15,Portugal
S11419,8.5,,42.0,Doctorate,Female,0,352-327-1799,LC1343,Grade 10,15,England
S11420,14.2,48.8,39.9,Doctorate,Male,3,774-216-4581,LC7209,Grade 10,15,Germany
S11421,10.9,60.0,64.6,Doctorate,Female,2,295-319-4145,LC4630,Grade 11,16,England
S11422,13.0,90.7,86.3,Bachelor,Female,1,160-387-6288,LC5840,Grade 11,16,Germany
S11423,8.8,64.4,67.0,Master,Male,1,322-309-2196,LC3699,Grade 12,17,Spain
S11424,8.3,63.9,56.1,Bachelor,Male,2,815-706-6263,LC5075,Grade 11,16,Portugal
S11425,4.2,71.0,49.1,High School,Female,0,184-826-3826,,Grade 12,17,Germany
S11426,8.1,31.9,45.8,Associate,Male,4,114-808-7379,LC9825,Grade 11,16,France
S11427,-6.6,97.4,61.1,High School,Male,3,396-347-2262,LC8929,Grade 10,15,France
S11428,7.0,78.5,62.0,Associate,Female,0,622-823-5800,LC1415,Grade 12,17,Germany
S11429,9.6,58.8,73.3,Master,Male,4,805-385-6630,LC1397,Grade 11,16,England
S11430,12.8,40.7,59.6,Bachelor,Male,1,828-520-9073,LC9286,Grade 12,17,France
S11431,8.7,47.7,85.8,High School,Female,2,322-113-9957,,Grade 12,17,Germany
S11432,11.7,43.1,45.6,High School,Male,4,981-227-4655,LC1517,Grade 11,16,Spain
S11433,-0.9,79.5,48.1,Bachelor,Male,2,748-446-8658,LC1019,Grade 12,17,France
S11434,9.7,79.7,71.2,Associate,Female,1,263-990-6541,,Grade 11,16,England
S11435,1.6,87.2,57.7,Bachelor,Male,0,148-999-7491,LC2799,Grade 10,15,England
S11436,4.0,89.7,56.6,Master,Female,,639-620-9550,LC3004,Grade 11,16,France
S11437,9.1,87.6,53.3,Bachelor,Male,4,891-910-5366,,Grade 11,16,France
S11438,16.4,105.8,44.2,High School,Male,1,606-468-3366,LC2629,Grade 11,16,France
S11439,11.9,98.9,33.5,Bachelor,Female,2,411-836-6778,,Grade 12,17,Spain
S11440,10.1,94.2,54.9,Bachelor,Male,0,551-711-1061,LC2463,Grade 10,15,France
S11441,9.9,79.7,48.0,Master,Male,2,505-456-9155,LC6553,Grade 12,17,England
S11442,6.4,89.4,69.4,,Male,5,947-860-9217,LC4754,Grade 12,18,Germany
S11443,7.3,66.8,64.2,Bachelor,Male,2,168-485-8342,LC7688,Grade 11,16,Portugal
S11444,12.1,70.6,55.3,,Male,4,842-121-9234,LC9818,Grade 11,16,Germany
S11445,3.1,109.4,57.3,Master,Male,5,847-145-9811,LC8972,Grade 12,17,England
S11446,13.0,63.9,81.4,Doctorate,Female,0,563-901-6257,LC4442,Grade 11,16,France
S11447,8.1,62.4,52.7,Bachelor,Male,2,950-453-9796,LC4100,Grade 10,15,Germany
S11448,14.1,67.8,79.1,Bachelor,Male,0,210-921-4832,LC4890,Grade 11,16,Spain
S11449,14.8,64.0,,Doctorate,Female,3,876-348-2591,LC7750,Grade 12,17,Germany
S11450,1.6,65.7,69.4,High School,Male,1,763-844-4628,LC1761,Grade 11,16,Germany
S11451,7.1,79.8,59.3,Doctorate,Male,4,617-232-4454,,Grade 11,16,Germany
S11452,5.7,80.5,62.0,Associate,Male,0,917-363-8927,,Grade 11,16,Spain
S11453,0.9,93.2,76.5,Bachelor,Male,4,257-424-1475,LC9597,Grade 12,17,Spain
S11454,4.8,118.8,,Bachelor,Male,0,554-942-7299,LC4011,Grade 11,16,Germany
S11455,22.2,67.6,100.9,Bachelor,Male,2,469-630-7002,LC6974,Grade 12,17,Spain
S11456,13.0,73.7,53.2,Master,Female,4,567-232-6875,LC1460,Grade 10,15,Spain
S11457,19.6,38.2,75.5,High School,Male,1,521-461-5256,LC7297,Grade 11,16,France
S11458,14.1,49.2,200.0,Master,Male,0,423-596-3270,LC3753,Grade 10,15,Portugal
S11459,6.3,72.1,40.4,Master,Male,0,793-768-4270,LC3702,Grade 12,17,England
S11460,8.1,84.3,,Associate,Female,2,694-852-6532,,Grade 10,15,France
S11461,12.9,84.8,60.4,Master,Male,1,814-720-4278,LC2673,Grade 10,16,England
S11462,12.2,87.3,60.2,Associate,Male,3,169-344-4135,,Grade 12,17,France
S11463,7.1,100.1,80.0,Associate,Female,3,119-716-7123,LC7696,Grade 11,16,Germany
S11464,2.5,109.1,,Doctorate,Female,0,243-271-1270,,Grade 10,15,Germany
S11465,26.4,70.1,86.6,Master,Male,0,463-878-9367,LC4998,Grade 11,16,Germany
S11466,,59.0,46.1,Doctorate,Male,2,648-441-2597,,Grade 12,17,France
S11467,8.4,88.1,47.5,Associate,Male,1,875-656-3288,LC9421,Grade 11,16,England
S11468,10.6,,60.4,Doctorate,Male,2,100-266-6041,,Grade 10,15,Germany
S11469,8.8,77.7,55.6,Master,Male,1,498-326-2296,LC3002,Grade 11,16,France
S11470,10.6,71.4,52.6,Bachelor,Male,0,670-426-3919,LC7933,Grade 11,16,Spain
S11471,16.4,64.9,30.5,Bachelor,Female,0,941-966-1657,LC3997,Grade 12,17,Portugal
S11472,9.4,74.2,80.6,High School,Male,1,874-777-7707,,Grade 11,16,England
S11473,4.2,88.8,70.5,Bachelor,Male,0,175-448-2636,LC4468,Grade 10,15,England
S11474,9.2,61.6,72.7,Associate,Male,2,537-353-2938,LC3659,Grade 11,16,England
S11475,7.7,59.0,53.4,Bachelor,Male,2,834-248-7651,LC6693,Grade 10,15,Germany
S11476,17.1,87.0,,Master,Male,4,986-140-5467,LC9417,Grade 12,17,Spain
S11477,15.9,58.0,97.6,High School,Male,5,803-764-8347,LC6715,Grade 11,16,Portugal
S11478,10.5,78.0,73.7,Master,Male,2,743-630-3800,LC7916,Grade 10,15,England
S11479,3.6,77.0,65.1,Associate,Female,2,205-611-4956,LC4620,Grade 11,16,Germany
S11480,3.9,75.0,66.5,High School,Male,1,693-977-9334,LC2992,Grade 10,15,Germany
S11481,10.1,62.1,83.5,High School,Male,1,949-513-7957,LC4490,Grade 11,16,England
S11482,11.7,109.7,47.8,Master,Male,4,902-532-4141,LC6915,Grade 11,16,France
S11483,8.1,83.0,63.3,High School,Male,2,921-765-2237,LC8767,Grade 12,17,England
S11484,7.6,64.7,65.5,Associate,Male,5,483-365-4285,LC7174,Grade 10,15,Portugal
S11485,7.0,81.6,70.6,Bachelor,Male,4,357-222-2983,LC4711,Grade 11,16,France
S11486,9.9,,54.0,Associate,Female,1,422-121-8814,LC4647,Grade 10,14,Germany
S11487,-1.9,76.8,35.1,Doctorate,Female,3,866-575-1585,,Grade 12,17,France
